objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,status
1237663716016980506,6.01440231284846,0.52302651460627,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(51, 46)(50, 50)]",NO_PEAK,"[]",success
1237663716016980507,6.01454991696551,0.522559355089779,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(49, 54)]",NO_PEAK,"[]",success
1237657191446610517,10.3571002648607,0.24851867618365,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(49, 46)]",success
1237657191447789673,13.0597376644841,0.316959333748186,NO_PEAK,"[]",SINGLE,"[(58, 55)]",DOUBLE,"[(53, 51)(54, 52)]",SINGLE,"[(54, 52)]",success
1237657191447789672,13.0601253718872,0.317128304000554,NO_PEAK,"[]",SINGLE,"[(55, 53)]",DOUBLE,"[(49, 50)(50, 51)]",SINGLE,"[(50, 50)]",success
1237663204923081072,20.3112502051289,0.722016967637291,SINGLE,"[(20, 33)]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(18, 35)(23, 22)]",success
1237663204923081071,20.3115489841927,0.721907601511567,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(15, 36)(20, 23)]",success
1237663784743010512,20.001173117999,0.446071447605226,DOUBLE,"[(26, 17)(26, 18)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",success
1237663782596116770,21.3754227658674,-1.05343738123183,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(52, 53)]",DOUBLE,"[(51, 53)(59, 61)]",success
1237663784744911439,24.3697928809884,0.577096387467565,DOUBLE,"[(35, 22)(36, 22)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(36, 22)]",success
1237663784744911440,24.3699445701614,0.577469685297796,DOUBLE,"[(34, 18)(35, 18)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",success
1237663783671300323,24.5730664128044,-0.342829275708349,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(54, 56)]",NO_PEAK,"[]",success
1237663783136920292,30.3240158840744,-0.747434813057059,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(54, 48)(50, 50)]",success
1237663783136920291,30.3244739728941,-0.747626856950107,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(46, 52)]",success
1237678617431769407,31.8756912398119,1.11839148329342,NO_PEAK,"[]",SINGLE,"[(50, 49)]",DOUBLE,"[(50, 50)(50, 51)]",SINGLE,"[(50, 50)]",success
1237678617432752297,34.0901621428786,1.06706875903403,NO_PEAK,"[]",DOUBLE,"[(58, 55)(55, 49)]",DOUBLE,"[(58, 55)(54, 49)]",DOUBLE,"[(58, 56)(54, 50)]",success
1237678617432752296,34.0906340667788,1.06692639911528,NO_PEAK,"[]",DOUBLE,"[(53, 56)(50, 50)]",DOUBLE,"[(53, 57)(49, 51)]",DOUBLE,"[(54, 57)(50, 51)]",success
1237657070090912465,40.1171229919649,-0.439960324262483,SINGLE,"[(19, 50)]",NO_PEAK,"[]",DOUBLE,"[(18, 11)(19, 11)]",NO_PEAK,"[]",success
1237663783143604556,45.6515472820298,-0.63327758649775,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 46)]",success
1237663783143604557,45.6518264112479,-0.633721543515764,SINGLE,"[(48, 54)]",NO_PEAK,"[]",SINGLE,"[(48, 54)]",DOUBLE,"[(48, 54)(51, 50)]",success
1237663782589956274,7.31915540154465,-1.16260041496225,SINGLE,"[(38, 62)]",SINGLE,"[(51, 43)]",DOUBLE,"[(51, 43)(50, 50)]",DOUBLE,"[(51, 43)(50, 50)]",success
1237663783663698846,7.31916595229442,-0.253561561691493,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(51, 50)(53, 56)]",success
1237663782589956273,7.31927649515493,-1.16338650388987,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(49, 57)]",DOUBLE,"[(50, 50)(49, 57)]",success
1237663783663698847,7.31947880666989,-0.252910775484425,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(48, 44)(50, 50)]",success
1237657189834686669,7.3206093486412,-0.937366044342994,NO_PEAK,"[]",SINGLE,"[(48, 46)]",DOUBLE,"[(47, 45)(50, 50)]",SINGLE,"[(48, 46)]",success
1237663716018750054,10.1171638654939,0.506054467218878,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(54, 45)(54, 44)]",success
1237663716018750053,10.1176336668154,0.505448559639716,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 49)(50, 50)]",success
1237656971300766762,10.1359858818355,-0.484628029299903,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(14, 33)(14, 32)]",NO_PEAK,"[]",success
1237656971300766761,10.1366519280793,-0.484502980298487,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(8, 31)(8, 32)]",NO_PEAK,"[]",success
1237663204918624651,10.2268484058941,0.731539145061333,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(19, 25)(14, 22)]",SINGLE,"[(19, 25)]",success
1237663204918624649,10.227281671843,0.731988063992203,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(15, 21)(10, 18)]",NO_PEAK,"[]",success
1237666406845383266,31.0143278521016,-0.966024956263447,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(37, 18)(38, 18)]",DOUBLE,"[(38, 19)(38, 18)]",success
1237666407382253720,31.0175160147566,-0.511415534501647,NO_PEAK,"[]",DOUBLE,"[(58, 57)(49, 53)]",DOUBLE,"[(58, 56)(50, 51)]",DOUBLE,"[(59, 56)(50, 51)]",success
1237666407382253719,31.0184029629041,-0.510719352069931,NO_PEAK,"[]",DOUBLE,"[(50, 50)(41, 46)]",DOUBLE,"[(50, 50)(42, 45)]",DOUBLE,"[(51, 50)(43, 43)]",success
1237663784210727414,30.4408238442143,0.155447834415776,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(47, 24)(47, 25)]",SINGLE,"[(47, 24)]",success
1237663784210727415,30.4420733084482,0.156015107846477,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(35, 19)(35, 20)]",SINGLE,"[(35, 19)]",success
1237663784747926251,31.2698826629389,0.453914249990607,SINGLE,"[(32, 36)]",NO_PEAK,"[]",SINGLE,"[(48, 30)]",DOUBLE,"[(47, 30)(47, 18)]",success
1237663784747926252,31.270916195526,0.453240017316153,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(38, 36)(38, 24)]",success
1237666406845514734,31.3146900454654,-1.04664148615,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(46, 13)(57, 18)]",success
1237663783676412079,36.3381533625881,-0.419488601914987,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(71, 55)(19, 42)]",NO_PEAK,"[]",success
1237663783676412049,36.3392893942589,-0.419198937290639,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(61, 53)(9, 40)]",NO_PEAK,"[]",success
1237666407920435492,34.0788418573607,-0.166688932539641,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 50)(39, 55)]",success
1237666407920435517,34.0798951727546,-0.167292987050206,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(40, 56)(30, 61)]",success
1237663783137968707,32.6450663042493,-0.632463720373637,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(51, 50)]",SINGLE,"[(50, 50)]",success
1237663783139148043,35.4770173285963,-0.645570004110714,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(20, 42)(61, 53)]",NO_PEAK,"[]",success
1237663783139147988,35.4781226180706,-0.645261105734025,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(10, 39)(21, 42)]",NO_PEAK,"[]",success
1237663783139213538,35.4849917569661,-0.643492974454712,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(72, 56)(30, 45)]",NO_PEAK,"[]",success
1237663783139213570,35.4861783203039,-0.643166663172099,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(61, 53)(19, 42)]",NO_PEAK,"[]",success
1237663783139213557,35.4906785038033,-0.641957116639221,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(60, 53)(71, 56)]",NO_PEAK,"[]",success
1237663783139213539,35.4918014838374,-0.641640254885812,SINGLE,"[(99, 4)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(61, 53)]",SINGLE,"[(33, 19)]",success
1237657587097665764,40.052620655376,0.72756943813877,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(35, 8)]",DOUBLE,"[(36, 8)(39, 1)]",success
1237660241385488887,45.5812817577734,0.524125972185339,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(43, 40)]",DOUBLE,"[(43, 39)(46, 32)]",success
1237645943979180561,56.9906778850641,0.857982294426083,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(29, 28)]",DOUBLE,"[(29, 28)(29, 29)]",success
1237645943979180562,56.9914641990471,0.856919064617524,SINGLE,"[(99, 76)]",NO_PEAK,"[]",SINGLE,"[(22, 38)]",DOUBLE,"[(22, 38)(22, 39)]",success
1237666299482538696,51.8977806843526,-0.90690232201507,DOUBLE,"[(21, 22)(21, 21)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(20, 23)]",success
