objid,pid1,photoZ1,photoZ_err1,schlegelZ1,schlegelZ_err1,absMagR1,u1,g1,r1,i1,z1,pid2,photoZ2,photoZ_err2,schlegelZ2,schlegelZ_err2,absMagR2,u2,g2,r2,i2,z2
1237663237131403452,1237663237131403452,0.264462,0.025458,null,null,-21.8406,23.20735,20.92095,19.33816,18.70109,18.18247,1237663237131403452,0.264462,0.025458,null,null,-21.8406,23.20735,20.92095,19.33816,18.70109,18.18247
1237663237131403769,1237663237131403769,0.377385,0.105775,null,null,-21.0698,24.21635,23.17316,21.28894,21.11666,21.28483,1237663237131403769,0.377385,0.105775,null,null,-21.0698,24.21635,23.17316,21.28894,21.11666,21.28483
1237663237667029830,1237663237667029483,0.363265,0.091739,null,null,-21.1699,25.98187,22.70541,20.98764,20.39821,19.98782,1237663237667029483,0.363265,0.091739,null,null,-21.1699,25.98187,22.70541,20.98764,20.39821,19.98782
1237663237667095214,1237663237667094830,0.554602,0.030316,null,null,-22.6859,24.3741,23.88436,22.93723,22.3255,21.76567,1237663237667094830,0.554602,0.030316,null,null,-22.6859,24.3741,23.88436,22.93723,22.3255,21.76567
1237663237667160614,1237663237667160624,0.675432,0.116766,null,null,-21.6217,24.36592,23.12393,22.38707,22.41065,21.41002,1237663237667160624,0.675432,0.116766,null,null,-21.6217,24.36592,23.12393,22.38707,22.41065,21.41002
1237663237667160698,1237663237667160698,0.802426,0.082686,null,null,-20.2793,23.0095,24.06255,23.19859,22.16292,21.45554,1237663237667160699,0.318547,0.070435,null,null,-19.6842,23.0095,24.06255,23.19859,22.16292,21.45554
1237663237667160699,1237663237667160698,0.802426,0.082686,null,null,-20.2793,23.73789,23.73257,21.34863,21.75629,21.03527,1237663237667160699,0.318547,0.070435,null,null,-19.6842,23.73789,23.73257,21.34863,21.75629,21.03527
1237663237667488289,1237663237667488289,0.210507,0.070618,null,null,-19.7425,22.43951,21.08797,20.34845,19.96243,19.83708,1237663237667488289,0.210507,0.070618,null,null,-19.7425,22.43951,21.08797,20.34845,19.96243,19.83708
1237663237667618914,1237663237667618914,0.049049,0.022691,0.03669231,8.567927E-06,-20.3238,19.2034,17.28903,16.5801,16.23852,15.89801,1237663237667618914,0.049049,0.022691,0.03669231,8.567927E-06,-20.3238,19.2034,17.28903,16.5801,16.23852,15.89801
1237663237667618915,1237663237667618915,-9999,-9999,null,null,-17.7098,22.84497,22.32338,24.36515,24.0189,22.8269,1237663237667618915,-9999,-9999,null,null,-17.7098,22.84497,22.32338,24.36515,24.0189,22.8269
1237663237667619304,1237663237667619290,0.564281,0.101085,null,null,-20.7372,23.8763,22.43023,20.81598,20.05333,19.51297,1237663237667619290,0.564281,0.101085,null,null,-20.7372,23.8763,22.43023,20.81598,20.05333,19.51297
1237663237667816448,1237663237667816442,0.854822,0.061783,null,null,-20.5711,22.32588,23.94329,21.54321,22.14328,20.19394,1237663237667816442,0.854822,0.061783,null,null,-20.5711,22.32588,23.94329,21.54321,22.14328,20.19394
1237663237668143352,1237663237668143352,0.295796,0.064096,null,null,-20.3151,21.93963,21.64562,20.84022,20.79461,20.23007,1237663237668143352,0.295796,0.064096,null,null,-20.3151,21.93963,21.64562,20.84022,20.79461,20.23007
1237663237668274744,1237663237668274744,0.311719,0.10751,null,null,-20.611,24.4477,22.25641,21.08417,20.72822,20.1339,1237663237668274744,0.311719,0.10751,null,null,-20.611,24.4477,22.25641,21.08417,20.72822,20.1339
1237663237668602057,1237663237668602057,0.200859,0.021378,null,null,-21.7376,22.54948,20.10038,18.74564,18.20282,17.82853,1237663237668602057,0.200859,0.021378,null,null,-21.7376,22.54948,20.10038,18.74564,18.20282,17.82853
1237663237668995342,1237663237668995342,0.547407,0.11769,null,null,-21.7917,22.37284,21.99663,21.16599,20.76487,20.79506,1237663237668995342,0.547407,0.11769,null,null,-21.7917,22.37284,21.99663,21.16599,20.76487,20.79506
1237663237668995343,1237663237668995342,0.547407,0.11769,null,null,-21.7917,25.86813,25.57793,24.05757,23.98021,20.67043,1237663237668995342,0.547407,0.11769,null,null,-21.7917,25.86813,25.57793,24.05757,23.98021,20.67043
1237663237669323231,1237663237669323454,0.999926,0.134447,null,null,-21.4008,22.7487,23.20078,21.97351,20.93456,20.4745,1237663237669323454,0.999926,0.134447,null,null,-21.4008,22.7487,23.20078,21.97351,20.93456,20.4745
1237663238195577237,1237663238195577237,0.499036,0.101886,null,null,-21.5719,25.39365,22.23577,21.10082,20.35195,19.77591,1237663238195577237,0.499036,0.101886,null,null,-21.5719,25.39365,22.23577,21.10082,20.35195,19.77591
1237663238195577736,1237663238195577736,0.581329,0.034989,null,null,-22.1894,25.42777,23.0658,21.22336,20.16636,19.56404,1237663238195577736,0.581329,0.034989,null,null,-22.1894,25.42777,23.0658,21.22336,20.16636,19.56404
1237663238201213426,1237660240312861671,0.210313,0.14168,null,null,-17.0727,22.85233,20.94697,20.09702,19.84271,20.62533,1237660240312861671,0.210313,0.14168,null,null,-17.0727,22.85233,20.94697,20.09702,19.84271,20.62533
1237663238204359216,1237663238204359216,0.701142,0.046848,null,null,-22.304,24.47373,23.80581,22.17127,20.79054,20.27758,1237663238204359216,0.701142,0.046848,null,null,-22.304,24.47373,23.80581,22.17127,20.79054,20.27758
1237663238204556356,1237663238204555688,0.361798,0.055951,null,null,-20.6332,24.63389,23.49807,22.51472,22.10419,21.4321,1237663238204555688,0.361798,0.055951,null,null,-20.6332,24.63389,23.49807,22.51472,22.10419,21.4321
1237663238205735662,1237663238205735216,0.296013,0.098997,null,null,-20.4161,22.50537,23.74724,22.00087,21.41732,21.06159,1237663238205735216,0.296013,0.098997,null,null,-20.4161,22.50537,23.74724,22.00087,21.41732,21.06159
1237663238205800747,1237663238205800747,0.084281,0.093476,null,null,-18.2342,23.86702,21.60971,20.78253,20.16338,19.50195,1237663238205800747,0.084281,0.093476,null,null,-18.2342,23.86702,21.60971,20.78253,20.16338,19.50195
1237663238205931750,1237663238205931750,0.088975,0.021163,null,null,-21.5187,20.89043,19.02986,17.91467,17.2838,16.77596,1237663238205931750,0.088975,0.021163,null,null,-21.5187,20.89043,19.02986,17.91467,17.2838,16.77596
1237663238205931989,1237663238205931989,0.494871,0.053758,null,null,-22.3499,22.0924,21.76148,20.59074,20.26104,19.77753,1237663238205931989,0.494871,0.053758,null,null,-22.3499,22.0924,21.76148,20.59074,20.26104,19.77753
1237663238739001808,1237663238739001808,0.508514,0.132803,null,null,-21.7057,23.8488,22.4369,21.36918,20.71679,20.10179,1237663238739001808,0.508514,0.132803,null,null,-21.7057,23.8488,22.4369,21.36918,20.71679,20.10179
1237663238739132798,1237663238739132798,0.314618,0.073821,null,null,-18.75,24.6142,23.03864,22.21338,22.2665,23.34392,1237663238739132798,0.314618,0.073821,null,null,-18.75,24.6142,23.03864,22.21338,22.2665,23.34392
1237663238739198251,1237663238739198251,0.181186,0.041012,null,null,-20.6462,22.54859,20.62906,19.43893,18.94265,18.52022,1237663238739198251,0.181186,0.041012,null,null,-20.6462,22.54859,20.62906,19.43893,18.94265,18.52022
1237663238739198252,1237663238739198252,0.365444,0.050594,null,null,-21.51,24.07694,22.11681,20.50792,19.81733,19.42854,1237663238739198252,0.365444,0.050594,null,null,-21.51,24.07694,22.11681,20.50792,19.81733,19.42854
1237663238739198427,1237663238739198427,0.38171,0.125009,null,null,-20.7514,23.71111,22.2276,21.26516,20.81031,20.4562,1237663238739198427,0.38171,0.125009,null,null,-20.7514,23.71111,22.2276,21.26516,20.81031,20.4562
1237663238739198428,1237663238739198252,0.365444,0.050594,null,null,-21.51,23.20659,21.55627,21.43741,21.14145,21.05338,1237663238739198252,0.365444,0.050594,null,null,-21.51,23.20659,21.55627,21.43741,21.14145,21.05338
1237663238739198442,1237663238739198442,0.331477,0.055282,null,null,-20.502,21.79283,21.62778,20.7362,20.78315,20.29973,1237663238739198442,0.331477,0.055282,null,null,-20.502,21.79283,21.62778,20.7362,20.78315,20.29973
1237663238739329795,1237663238739329795,0.43961,0.086651,null,null,-21.6343,23.03413,22.20525,20.90992,20.33566,19.80151,1237663238739329795,0.43961,0.086651,null,null,-21.6343,23.03413,22.20525,20.90992,20.33566,19.80151
1237663238739395295,1237663238739395295,0.644114,0.192409,null,null,-21.7558,24.84931,22.88348,22.19658,21.424,21.09035,1237663238739395295,0.644114,0.192409,null,null,-21.7558,24.84931,22.88348,22.19658,21.424,21.09035
1237663238739460469,1237663238739460933,0.658772,0.07938,null,null,-21.4879,25.435,22.85318,21.25959,20.32516,19.91114,1237663238739460933,0.658772,0.07938,null,null,-21.4879,25.435,22.85318,21.25959,20.32516,19.91114
1237663238739460471,1237663238739460934,0.308484,0.103639,null,null,-18.8509,21.64566,20.56462,27.51974,20.77469,24.98587,1237663238739460934,0.308484,0.103639,null,null,-18.8509,21.64566,20.56462,27.51974,20.77469,24.98587
1237663238739591693,1237663238739591693,0.290072,0.136791,null,null,-20.1163,24.27605,22.14809,21.11186,20.63743,20.7472,1237663238739591693,0.290072,0.136791,null,null,-20.1163,24.27605,22.14809,21.11186,20.63743,20.7472
1237663238739657434,1237663238739592076,0.632193,0.040504,null,null,-21.8113,23.07296,23.10451,22.19728,21.501,21.55427,1237663238739657435,0.497052,0.140277,null,null,-19.2665,23.07296,23.10451,22.19728,21.501,21.55427
1237663238739723167,1237663238739723167,0.417879,0.094167,null,null,-19.8924,24.03043,23.43966,21.98004,21.26553,20.97181,1237663238739723167,0.417879,0.094167,null,null,-19.8924,24.03043,23.43966,21.98004,21.26553,20.97181
1237663238740116176,1237663238740116168,0.279767,0.12243,null,null,-19.8441,23.29438,23.14085,22.76248,22.65463,22.50216,1237663238740116168,0.279767,0.12243,null,null,-19.8441,23.29438,23.14085,22.76248,22.65463,22.50216
