objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237662636363546792,212.623794999748,12.8231226766422,SINGLE,"[(21, 2)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(48, 54)]"
1237662529528529073,212.35555059222,13.1565038171785,SINGLE,"[(49, 48)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 49)(50, 59)]",DOUBLE,"[(51, 59)(51, 49)]"
1237662529528529148,212.392798363677,13.1334642712143,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(59, 40)]"
1237662268606447758,217.59738499732,7.09377370800424,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(44, 31)]"
1237662268606382261,217.511086194485,7.15405032013544,NO_PEAK,"[]",DOUBLE,"[(50, 50)(52, 58)]",DOUBLE,"[(50, 50)(51, 58)]",DOUBLE,"[(50, 50)(51, 58)]"
1237662262170615972,217.828812186139,7.25758820764068,SINGLE,"[(46, 36)]",DOUBLE,"[(46, 35)(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237655744552436531,217.508346630497,6.81978987413528,SINGLE,"[(2, 20)]",NO_PEAK,"[]",DOUBLE,"[(28, 8)(32, 1)]",DOUBLE,"[(29, 9)(33, 1)]"
1237655744552501404,217.638645041664,6.81498127762049,NO_PEAK,"[]",DOUBLE,"[(50, 50)(38, 49)]",DOUBLE,"[(50, 50)(38, 49)]",DOUBLE,"[(50, 50)(75, 45)]"
1237655744015827080,217.998105521562,6.40108942479318,NO_PEAK,"[]",DOUBLE,"[(50, 50)(41, 45)]",DOUBLE,"[(50, 50)(41, 45)]",DOUBLE,"[(50, 50)(41, 45)]"
1237655744552698063,218.028149454822,6.85781651018049,DOUBLE,"[(50, 50)(52, 40)]",DOUBLE,"[(50, 50)(51, 41)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237655744552632390,217.871418625091,6.85463446557848,NO_PEAK,"[]",DOUBLE,"[(50, 50)(43, 52)]",DOUBLE,"[(50, 50)(42, 51)]",DOUBLE,"[(50, 50)(50, 63)]"
1237662268069904538,218.334421546949,6.68552040354725,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(68, 62)]",NO_PEAK,"[]"
1237662268069904591,218.381416363842,6.51970401549241,NO_PEAK,"[]",DOUBLE,"[(50, 50)(56, 57)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(52, 64)]"
1237655744016023744,218.485516218202,6.36625326426933,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(71, 52)]"
1237662267533033707,218.374593909458,6.25658121399835,NO_PEAK,"[]",DOUBLE,"[(53, 62)(50, 50)]",DOUBLE,"[(50, 50)(53, 62)]",DOUBLE,"[(51, 50)(54, 62)]"
