index,objid,ra,dec
6960,1237657190368412174,0.177890352531335,-0.570612958119692
7068,1237663783123682177,0.0916506093928078,-0.683763279599075
7081,1237666408442430159,0.0918796844341045,0.350055041976106
7150,1237657190368412168,0.174673201593805,-0.561347889115686
7172,1237657190368412835,0.175274028506351,-0.576672255209027
7261,1237663783123747290,0.210891469477605,-0.724922543907395
7263,1237663278464696580,0.210910369395691,0.854789159885019
7339,1237657192515895870,0.212628808958016,1.12000408173148
7401,1237657191979024911,0.126016669700903,0.781387224900868
7527,1237657189831541319,0.193419784032471,-0.920974554823025
7774,1237657190368346976,0.0469716265923239,-0.422014054903573
7800,1237663278464631762,0.0475530482088118,0.959609443016407
7802,1237663277927760668,0.0476290084491779,0.483682980240997
7810,1237663784197423351,0.0478530355288278,0.0614868424218843
7813,1237663783660553131,0.0479153554172864,-0.420458875542467
7864,1237657190368346977,0.0491522158901034,-0.426253281657718
7885,1237657191979024945,0.134285485720454,0.787233318110152
7890,1237666408442496094,0.134536370982232,0.290675234313196
7891,1237663278464697145,0.134549712138949,0.888904135432922
7927,1237663278464697147,0.135419108481898,0.88182112460348
7938,1237663278464697149,0.135769341679406,0.883729179795831
8000,1237657189831541736,0.215656334097787,-0.886142866848554
8020,1237663783123747659,0.216088216032567,-0.738162623244728
8022,1237663783123747312,0.216120875770214,-0.728660680926092
8029,1237663783123747660,0.216292028452235,-0.739382800063613
8108,1237657191979090375,0.265423028333885,0.751454805032444
8139,1237657190368477536,0.266028328768186,-0.592588578771255
8279,1237663783123747379,0.2416204134782,-0.72232970515426
8319,1237663783123747385,0.242945775735146,-0.719219110623148
8353,1237657192515896262,0.171962784340224,1.12176417411893
8417,1237657189831541956,0.240076147146226,-1.04562621989041
8454,1237663784197489790,0.240877717343343,0.121908893308239
8469,1237666408442560947,0.296094111368689,0.276640459005316
8502,1237663784197489451,0.296827977483428,0.150162583285947
8517,1237666408442496208,0.147768025991013,0.246872715341377
8650,1237666408442561344,0.303433171761526,0.264926278172486
8670,1237663277927891481,0.303862822022552,0.596765566388131
8672,1237657189831607023,0.303938778730981,-0.98457001533408
8675,1237657189831607024,0.303970562135078,-0.985219435824724
8711,1237666408442496176,0.118756845971348,0.248436039890342
8766,1237657189831541962,0.201201226959483,-0.92246956984986
8784,1237666408442495626,0.201650763536065,0.334547927708209
8804,1237663783123747264,0.201995074973201,-0.730336022188559
8806,1237666408442495927,0.20199992413302,0.324357666476768
8827,1237657191979025140,0.202453522576377,0.772770664926532
8834,1237666408442495625,0.202602165433404,0.335502169714702
8836,1237657191979025492,0.202643087222668,0.757470117046133
8850,1237666408442495929,0.203030965953758,0.351866352934486
8885,1237663278464697155,0.138610970408365,0.896234401706257
8905,1237657190368477497,0.253274034784567,-0.577882447885938
