objid,bands,pid1,pid2
1237662663744815314,g,1237662663744815314,1237662663744815314
1237662225690198133,g,1237662225690198133,1237662225690198133
1237651754006544487,gr,1237651754006544490,1237651754006544487
1237651753469870210,g,1237651753469870210,1237651753469870210
1237654029254590599,gri,1237654029254590599,1237654029254590600
1237651754006347938,i,1237651754006347938,1237651754006347938
1237651752932475059,i,1237651752932475059,1237651752932475059
1237674651535147101,ri,1237674651535147101,1237674651535147101
1237651752932343969,i,1237651752932343969,1237651752932343969
1237651753469083765,i,1237651753469083765,1237651753469083768
1237651753469083785,ri,1237651753469083785,1237651753469083785
1237654029790937246,gri,1237654029790937246,1237654029790937246
1237667441898881195,ri,1237667441898881195,1237667441898881195
1237667321648054353,i,1237667321648054353,1237667321648054354
1237667322184859779,ri,1237667322184859779,1237667322184859779
1237667441899012375,gr,1237667441899012375,1237667441899012375
1237667322184859679,i,1237667322184859679,1237667322184859683
1237667322721599537,i,1237667322721599537,1237667322721599537
1237667321647923350,ri,1237667321647923352,1237667321647923350
1237667322184597652,i,1237667322184597652,1237667322184597653
1237667322721403083,gi,1237667322721403083,1237667322721403083
1237667442972361228,i,1237667442972361228,1237667442972361228
1237667444046233853,ri,1237667444046233854,1237667444046233854
1237667323258339582,gi,1237667323258339582,1237667323258339588
1237667443509297248,g,1237667443509297248,1237667443509297248
1237667443509428296,g,1237667443509428296,1237667443509428296
1237667323258536092,i,1237667323258536092,1237667323258536092
1237667323258470516,ugr,1237667323258470524,1237667323258470516
1237667323258601575,gri,1237667323258601575,1237667323258601575
1237667324332343341,gri,1237667324332343342,1237667324332343341
1237667444583497828,r,1237667444583497828,1237667444583497828
1237667324332474443,ug,1237667324332474443,1237667324332474443
1237667443509821606,g,1237667443509821606,1237667443509821605
1237665126936936641,ri,1237665126936936644,1237665126936936644
1237665023834914910,gri,1237665023834914910,1237665023834914910
1237665331466666100,gi,1237665331466666100,1237665331466666100
1237665126937002002,ugri,1237665126937002004,1237665126937002002
1237665227309187284,g,1237665227309187284,1237665227309187285
1237665227845992557,i,1237665227845992557,1237665227845992558
1237665023834849450,gri,1237665023834849450,1237665023834849451
1237665126936805487,g,1237665126936805487,1237665126936805487
1237665228382666835,g,1237665228382666835,1237665228382666836
1237665330929533032,i,1237665330929533032,1237665330929533033
1237665227845861409,r,1237665227845861409,1237665227845861408
1237665331466404012,ri,1237665331466404012,1237665331466404012
1237665126936674395,g,1237665126936674395,1237665126936674395
1237665127473414219,g,1237665127473414219,1237665127473414220
1237665023834390628,gr,1237665023834390628,1237665023834390628
1237665024371261653,gr,1237665024371261654,1237665024371261653
1237665128010547296,g,1237665128010547296,1237665128010547298
1237665023834849384,gr,1237665023834849384,1237665023834849384
1237665023834783952,gr,1237665023834783952,1237665023834783952
1237665023834849297,gri,1237665023834849297,1237665023834849297
1237665023834849396,i,1237665023834849396,1237665023834849396
1237665025445462051,gr,1237665025445462051,1237665025445462055
1237665023835045894,r,1237665023835045893,1237665023835045893
1237665128010678471,gri,1237665128010678471,1237665128010678471
1237665129084485701,gr,1237665129084485701,1237665129084485702
1237665129084486413,ri,1237665129084486413,1237665129084486414
1237665127473938599,gri,1237665127473938599,1237665127473938599
1237665127473938556,g,1237665127473938556,1237665127473938556
1237665549438812288,g,1237665549438812288,1237665549438812288
1237665549438746797,i,1237665549438746795,1237665549438746797
1237665532261237097,gri,1237665532261237097,1237665532261237097
1237665533334782450,i,1237665533334782754,1237665533334782754
1237665534932812159,i,1237665534932812159,1237665534932812306
1237665428109918527,r,1237665428109918527,1237665428109918527
1237665429183725907,g,1237665429183725907,1237665429183725908
1237665429183725938,ri,1237665429183725938,1237665429183725938
1237665428646920441,gri,1237665428646920441,1237665428646920441
1237665533335175630,ri,1237665533335175630,1237665533335175630
1237665428646920334,r,1237665428646920334,1237665428646920334
1237665442073084041,i,1237665442073084041,1237665442073084042
1237665428647117058,ri,1237665428647117058,1237665428647117058
1237665429184315675,i,1237665429184315675,1237665429184315675
1237665429183922474,ugri,1237665429183922474,1237665429183922474
1237665429183922616,i,1237665429183922615,1237665429183922615
1237671690154278949,i,1237671690154278952,1237671690154278958
1237671690154803612,u,1237671690154803622,1237671690154803622
1237671689617998119,ugri,1237671689617998119,1237671689617998119
1237665429184381394,r,1237665429184381394,1237665429184381395
1237665534933139777,gri,1237665534933139777,1237665534933139777
1237671690154934500,ri,1237671690154934500,1237671690154934500
1237664338779766889,ri,1237664338779766888,1237664338779766889
1237664879952724174,u,1237664879952724174,1237664879952724174
1237664871363444975,i,1237664871363444976,1237664871363444976
1237664870826705060,i,1237664870826705418,1237664870826705063
1237664338780160079,i,1237664338780160079,1237664338780160079
1237664879416508671,i,1237664879416508671,1237664879416508671
1237664871363772524,g,1237664871363772524,1237664871363772524
1237664871900578085,r,1237664871900578085,1237664871900578086
1237664871900643543,gr,1237664871900643543,1237664871900643543
1237664871900577858,gr,1237664871900577858,1237664871900577859
1237664871900643552,gri,1237664871900643552,1237664871900643553
1237664338243551496,i,1237664338243551496,1237664338243551496
1237654605872496814,ri,1237654605872496814,1237654605872496814
1237655124472365138,i,1237655124472365133,1237655124472365138
1237655125009301753,r,1237655125009301753,1237655125009301753
1237655125546172559,r,1237655125546172559,1237655125546172559
1237654605873283199,ug,1237654605873283199,1237654605873283199
1237655124472103020,r,1237655124472103020,1237655124472103021
1237654605873021142,r,1237654605873021142,1237654605873021142
1237654605336281219,i,1237654605336281219,1237654605336281219
1237655123934969986,i,1237655123934969985,1237655123934969986
1237655499205378245,i,1237655499205378245,1237655499205378245
1237674602679566561,gr,1237674602679566561,1237674602679566561
1237674601606152478,i,1237674601606152479,1237674601606152478
1237648702979703317,i,1237648702979703317,1237648702979703317
1237648702979768478,ri,1237648702979768481,1237648702979768481
1237655495447216316,gr,1237655495447216316,1237655495447216321
1237648702979768529,gri,1237648702979768529,1237648702979768529
1237674602680221964,g,1237674602680221964,1237674602680221964
1237655499206033513,i,1237655499206033513,1237655499206033513
1237674654216290511,i,1237674654216290511,1237674654216290512
1237655498133012724,gri,1237655498133012724,1237655498133012724
1237674654753030427,r,1237674654753030427,1237674654753030429
1237655691400315024,ri,1237655691400315024,1237655691400315024
1237655498132750484,i,1237655498132750484,1237655498132750484
1237655691937185832,gr,1237655691937185832,1237655691937185832
1237655691937317025,ri,1237655691937317055,1237655691937317056
1237655498669555864,g,1237655498669555864,1237655498669555864
1237655691400249507,i,1237655691400249507,1237655691400249507
1237674601606938932,ri,1237674601606938932,1237674601606938932
1237650762927374388,r,1237650371555623011,1237650762927375129
1237650371555557572,i,1237650371555557572,1237650371555557573
1237650371018555489,ri,1237650371018555489,1237650371018555489
1237650762927374450,ri,1237650762927374449,1237650762927374450
1237650761853632619,r,1237650761853632619,1237650761853632619
